   1.0000000e+01   2.0003147e+01
   2.0000000e+01   2.0004058e+01
   3.0000000e+01   1.9996270e+01
   4.0000000e+01   2.0004134e+01
   5.0000000e+01   2.0001324e+01
   6.0000000e+01   1.9995975e+01
   7.0000000e+01   1.9997785e+01
   8.0000000e+01   2.0000469e+01
   9.0000000e+01   2.0004575e+01
   1.0000000e+02   2.0004649e+01
   1.1000000e+02   1.9996576e+01
   1.2000000e+02   2.0004706e+01
   1.3000000e+02   2.0004572e+01
   1.4000000e+02   1.9999854e+01
   1.5000000e+02   2.0003003e+01
   1.6000000e+02   1.9996419e+01
   1.7000000e+02   1.9999218e+01
   1.8000000e+02   2.0004157e+01
   1.9000000e+02   2.0002922e+01
   2.0000000e+02   2.0004595e+01
